"Latitude","Longitude","Noise Amplitude","Pressure","Relative Humidity","Temperature"
45.2767456,18.7875036,19,1006.5,64.125,27.75
45.2946684,18.7986379,54,1064.125,47.125,31.75
45.28522,18.795725,26,1071.25,64.125,27.75
45.2908867,18.7636349,56,1028.125,66,31.75
45.2835299,18.7742899,3778,999.25,79.75,26.75
45.2834414,18.7629929,325,1035.25,41.25,26.75
45.2928117,18.8038568,5882,1035.25,6.5,36.625
45.2687,18.7985667,18,1006.5,64.125,27.75
45.2796517,18.82499,48,1078.375,23.5,22
45.2935017,18.8291833,376,1042.5,66.75,24.375
45.2904917,18.8081683,9843,1006.5,23.5,22
45.2818275,18.7725825,94,999.25,79.75,26.75
45.2885684,18.8045424,7049,1006.5,23.5,22
45.2932333,18.8023217,3421,1035.25,6.5,36.625
45.2894617,18.8125717,7302,1078.375,23.5,22
45.2895333,18.7909333,33,1013.75,66,31.75
45.2919317,18.8174667,12962,1042.5,66.75,24.375
45.2898667,18.79516,1083,1064.125,47.125,31.75
45.2797927,18.7902965,43,1006.5,64.125,27.75
45.2884319,18.8084909,7571,1006.5,23.5,22
45.2754467,18.7986417,69,1006.5,64.125,27.75
45.2973803,18.8021067,1304,1064.125,71.25,34.25
45.2933485,18.7692147,159,1015.25,36.625,30.75
45.2925383,18.7696417,5979,1006.5,64.125,27.75
45.2776248,18.8046752,34,1006.5,64.125,27.75
45.2762927,18.7930682,26,1006.5,64.125,27.75
45.2966547,18.8060789,1765,1064.125,71.25,34.25
45.2879033,18.7923483,21,1064.125,47.125,31.75
45.2905617,18.80439,12318,1015.25,36.625,30.75
45.2836984,18.8176083,34,1078.375,23.5,22
45.2701739,18.805011,26,1006.5,64.125,27.75
45.2993584,18.8133468,86,1042.5,66.75,24.375
45.2956767,18.8110717,88,1042.5,66.75,24.375
45.2979824,18.8031591,341,1028.125,47.125,31.75
45.2873817,18.8000067,8605,1006.5,23.5,22
45.2827917,18.8156333,236,1078.375,23.5,22
45.2918533,18.7635917,60,1028.125,66,31.75
45.2793483,18.7978267,12760,1006.5,64.125,27.75
45.2908952,18.805053,11735,1006.5,23.5,22
45.2954117,18.802769,32,1064.125,71.25,34.25
45.2951933,18.813605,678,1042.5,66.75,24.375
45.281015,18.80016,72,1071.25,64.125,27.75
45.2765161,18.79511,26,1006.5,64.125,27.75
45.2939867,18.8049067,3523,1006.5,23.5,22
45.2958233,18.8032567,88,1064.125,71.25,34.25
45.2803067,18.7877183,30,1006.5,64.125,27.75
45.2759077,18.8216847,611,1078.375,23.5,22
45.28916,18.8151033,90,1078.375,23.5,22
45.2945941,18.809438,6799,1006.5,23.5,22
45.2921464,18.8015814,3844,1035.25,6.5,36.625
45.299735,18.8010568,712,1064.125,47.125,31.75
45.2873233,18.7665735,865,1028.125,66,31.75
45.2911011,18.8095081,17692,1006.5,23.5,22
45.2815745,18.7909119,31,1006.5,64.125,27.75
45.2836983,18.8085967,326,1078.375,23.5,22
45.28826,18.7666383,39,1028.125,66,31.75
45.2870883,18.7839184,2482,1006.5,69.25,34.25
45.2768656,18.7994726,27,1006.5,64.125,27.75
45.2850899,18.785774,62,1006.5,69.25,34.25
45.2872333,18.7645783,22,1028.125,66,31.75
45.28867,18.7734,212,999.25,79.75,26.75
45.2873028,18.7783327,4846,999.25,79.75,26.75
45.2891417,18.799445,9533,1006.5,23.5,22
45.297105,18.8036661,1698,1064.125,71.25,34.25
45.2880783,18.7668533,33,1028.125,66,31.75
45.294784,18.7996411,1926,1064.125,71.25,34.25
45.2861317,18.78924,56,1006.5,69.25,34.25
45.293995,18.766505,84,999.25,79.75,26.75
45.2952061,18.8073865,2159,1064.125,71.25,34.25
45.2890668,18.807535,17911,1006.5,23.5,22
45.2790816,18.8039143,118,1006.5,64.125,27.75
45.2773464,18.7905004,24,1006.5,64.125,27.75
45.2819468,18.8185093,66,1078.375,23.5,22
45.2820117,18.7958901,34,1071.25,64.125,27.75
45.284845,18.8125017,48,1078.375,23.5,22
45.2995242,18.7997904,630,1064.125,47.125,31.75
45.2884617,18.8011517,7327,1006.5,23.5,22
45.2820541,18.785313,1125,1006.5,69.25,34.25
45.2872626,18.7859385,1179,1006.5,69.25,34.25
45.2904498,18.7612314,60,1035.25,41.25,26.75
45.2881175,18.7941075,1948,1064.125,47.125,31.75
45.2836983,18.80821,127,1078.375,23.5,22
45.2945724,18.8012128,547,1064.125,71.25,34.25
45.2960134,18.8001419,5089,1006.5,64.125,27.75
45.29191,18.7846133,96,1013.75,66,31.75
45.2786767,18.7918817,78,1006.5,64.125,27.75
45.2838783,18.783515,166,1006.5,69.25,34.25
45.2913594,18.8040579,11549,1006.5,23.5,22
45.2826082,18.7789663,2912,1006.5,69.25,34.25
45.2704217,18.7989317,779,1006.5,64.125,27.75
45.287945,18.7610183,285,1035.25,41.25,26.75
45.2883117,18.807385,16658,1006.5,23.5,22
45.2778917,18.799885,37,1006.5,64.125,27.75
45.2970183,18.8003699,2429,1064.125,71.25,34.25
45.282865,18.7979567,71,1071.25,64.125,27.75
45.2981517,18.815965,83,1042.5,66.75,24.375
45.2843617,18.7793733,88,1006.5,69.25,34.25
45.27643,18.7854017,19,1006.5,64.125,27.75
45.2816084,18.7884259,46,1006.5,64.125,27.75
45.3001867,18.8071058,1398,1028.125,47.125,31.75
45.2920133,18.802515,5012,1035.25,6.5,36.625
45.2904889,18.8160903,109,1078.375,23.5,22
45.2831862,18.7813529,1252,1006.5,69.25,34.25
45.2915483,18.787595,45,1013.75,66,31.75
45.29901,18.8089317,87,1064.125,71.25,34.25
45.290765,18.7715467,2696,999.25,79.75,26.75
45.2803809,18.8057082,33,1071.25,64.125,27.75
45.29348,18.7882823,95,1013.75,66,31.75
45.2861533,18.779735,28,1006.5,69.25,34.25
45.2875821,18.7717893,428,1020.875,89.5,36.625
45.2907967,18.7655017,24,1028.125,66,31.75
45.28556,18.762285,272,1035.25,41.25,26.75
45.2969883,18.796335,341,1064.125,47.125,31.75
45.2846199,18.7870291,166,1006.5,69.25,34.25
45.2909533,18.793165,6398,1013.75,66,31.75
45.2910683,18.7641283,29,1028.125,66,31.75
45.2957795,18.8007769,967,1064.125,71.25,34.25
45.2970483,18.7935683,1231,1064.125,47.125,31.75
45.2919983,18.8125283,152,1078.375,23.5,22
45.2898669,18.8046269,7702,1006.5,23.5,22
45.2886932,18.8024214,4200,1006.5,23.5,22
45.2935466,18.7994249,1272,1064.125,71.25,34.25
45.2828717,18.815,3609,1006.5,64.125,27.75
45.297185,18.8147633,61,1042.5,66.75,24.375
45.2715979,18.8037687,100,1006.5,64.125,27.75
45.2921617,18.78533,1634,1006.5,69.25,34.25
45.285885,18.7986017,62,1071.25,64.125,27.75
45.2974872,18.8113733,170,1042.5,66.75,24.375
45.292805,18.7645367,577,1015.25,36.625,30.75
45.294045,18.81502,900,1042.5,66.75,24.375
45.2969567,18.8038033,625,1064.125,71.25,34.25
45.2784567,18.8023567,47,1006.5,64.125,27.75
45.3001567,18.8034167,11794,1028.125,47.125,31.75
45.2927167,18.8258783,84,1042.5,66.75,24.375
45.2969185,18.8080482,261,1064.125,71.25,34.25
45.2862951,18.7864768,35,1006.5,69.25,34.25
45.2924233,18.8103783,5543,1006.5,23.5,22
45.2979233,18.8060983,1575,1064.125,71.25,34.25
45.2829783,18.7938083,33,1071.25,64.125,27.75
45.2792432,18.7949713,45,1006.5,64.125,27.75
45.2676733,18.8029233,19,1006.5,64.125,27.75
45.2811618,18.8135318,87,1078.375,23.5,22
45.29515,18.7900967,1101,1064.125,47.125,31.75
45.2891817,18.7777817,792,999.25,79.75,26.75
45.2940482,18.8024617,5121,1035.25,6.5,36.625
45.292142,18.7713189,23,1015.25,36.625,30.75
45.299765,18.8044033,1665,1028.125,47.125,31.75
45.2815233,18.8207417,887,1078.375,23.5,22
45.2842923,18.7710614,75,1020.875,89.5,36.625
45.2882346,18.790825,784,1013.75,66,31.75
45.284925,18.76649,61,1035.25,41.25,26.75
45.2779739,18.7862199,19,1006.5,64.125,27.75
45.2834083,18.7947383,60,1071.25,64.125,27.75
45.2817167,18.8012617,36,1071.25,64.125,27.75
45.299885,18.8023652,18154,1028.125,47.125,31.75
45.2980807,18.798828,517,1064.125,47.125,31.75
45.2906833,18.800032,6364,1035.25,6.5,36.625
45.2970184,18.7982481,950,1064.125,47.125,31.75
45.2945883,18.8239033,164,1042.5,66.75,24.375
45.2746,18.7946283,29,1006.5,64.125,27.75
45.2894436,18.7986179,8976,1006.5,23.5,22
45.2793417,18.784865,46,1006.5,64.125,27.75
45.2980917,18.8118883,611,1042.5,66.75,24.375
45.2751017,18.7984167,253,1006.5,64.125,27.75
45.293218,18.8042289,5663,1006.5,23.5,22
45.2834867,18.7963467,15036,1006.5,64.125,27.75
45.2687,18.7985667,35,1006.5,64.125,27.75
45.2853783,18.8141417,3579,1006.5,64.125,27.75
45.2926046,18.7868216,1774,1013.75,66,31.75
45.2834411,18.7857591,1580,1006.5,69.25,34.25
45.2831067,18.8037933,345,1071.25,64.125,27.75
45.2785247,18.8019265,20,1006.5,64.125,27.75
45.2931214,18.7890056,25,1013.75,66,31.75
45.3000367,18.8054983,1170,1028.125,47.125,31.75
45.2896624,18.8029464,7225,1006.5,23.5,22
45.2764591,18.7881119,400,1006.5,64.125,27.75
45.2935723,18.7866729,2316,1013.75,66,31.75
45.2929348,18.8011287,6686,1035.25,6.5,36.625
45.29504,18.8031183,45,1064.125,71.25,34.25
45.2935396,18.8106572,12796,1006.5,23.5,22
45.2950717,18.8260067,445,1042.5,66.75,24.375
45.2945009,18.7962836,473,1064.125,47.125,31.75
45.2931583,18.7878183,140,1028.125,66,31.75
45.2776817,18.78759,29,1006.5,64.125,27.75
45.2684283,18.8062067,20,1006.5,64.125,27.75
45.2914167,18.7698167,227,1015.25,36.625,30.75
45.2964008,18.8022687,53,1064.125,71.25,34.25
45.2940899,18.7939829,24,1064.125,47.125,31.75
45.2922867,18.7875533,57,1013.75,66,31.75
45.2795917,18.8117717,72,1078.375,23.5,22
45.2866267,18.8062567,6921,1006.5,23.5,22
45.2838914,18.7963645,66,1071.25,64.125,27.75
45.2987083,18.799425,556,1064.125,47.125,31.75
45.2992517,18.805905,1440,1028.125,47.125,31.75
45.2927806,18.8048518,2540,1006.5,23.5,22
45.286405,18.7740433,143,1020.875,89.5,36.625
45.2968967,18.8031383,445,1028.125,47.125,31.75
45.2943883,18.7656032,2287,999.25,79.75,26.75
45.2909167,18.76666,62,1028.125,66,31.75
45.2940534,18.7890767,63,1013.75,66,31.75
45.2838683,18.7699667,3481,1020.875,89.5,36.625
45.2958327,18.7948409,53,1064.125,47.125,31.75
45.2919167,18.79477,2791,1013.75,66,31.75
45.2809933,18.8046517,42,1071.25,64.125,27.75
45.2955033,18.806765,11100,1006.5,23.5,22
45.293331,18.7970243,2790,1064.125,47.125,31.75
45.2801244,18.7930536,54,1006.5,64.125,27.75
45.2938966,18.8061838,5187,1006.5,23.5,22
45.2947219,18.7680758,306,999.25,79.75,26.75
45.290635,18.7644283,10068,1006.5,64.125,27.75
45.28882,18.77995,9410,999.25,79.75,26.75
45.2764133,18.8037917,46,1006.5,64.125,27.75
45.2889354,18.8013175,5822,1035.25,6.5,36.625
45.2862833,18.7878667,616,1006.5,69.25,34.25
45.29533,18.7929067,21,1064.125,47.125,31.75
45.2867767,18.8034617,11264,1006.5,23.5,22
45.2967166,18.8044039,2678,1028.125,47.125,31.75
45.27332,18.7977083,52,1006.5,64.125,27.75
45.2920436,18.8067152,5386,1006.5,23.5,22
45.27012,18.79537,21,1006.5,64.125,27.75
45.2951367,18.7978033,13452,1006.5,64.125,27.75
45.2805913,18.802725,21,1071.25,64.125,27.75
45.2891417,18.8058817,7988,1006.5,23.5,22
45.2920101,18.7929477,2252,1013.75,66,31.75
45.2911831,18.8022686,5718,1035.25,6.5,36.625
45.2911301,18.783757,51,1006.5,69.25,34.25
45.2853488,18.7717686,189,1020.875,89.5,36.625
45.2851667,18.7681003,19,1020.875,89.5,36.625
45.2777283,18.7833633,19,1006.5,64.125,27.75
45.2920318,18.7903637,1614,1013.75,66,31.75
45.2855283,18.7729917,407,1020.875,89.5,36.625
45.289859,18.7634415,23,1028.125,66,31.75
45.2994023,18.8047266,1098,1028.125,47.125,31.75
45.291195,18.8060967,5603,1006.5,23.5,22
45.29056,18.8036617,7238,1006.5,23.5,22
45.2864091,18.8125448,40,1078.375,23.5,22
45.27774,18.7964733,60,1006.5,64.125,27.75
45.2739133,18.8197967,296,1078.375,23.5,22
45.29151,18.8243333,62,1042.5,66.75,24.375
45.2899286,18.8015506,16595,1035.25,6.5,36.625
45.2773067,18.7817317,65,1006.5,64.125,27.75
45.2882867,18.79904,9493,1006.5,23.5,22
45.2823283,18.7659317,3080,1020.875,89.5,36.625
45.2920372,18.8041329,7021,1006.5,23.5,22
45.2940533,18.78736,1411,1013.75,66,31.75
45.2901894,18.7924545,60,1013.75,66,31.75
45.2951167,18.8041833,280,1035.25,6.5,36.625
45.2932417,18.7699,99,1006.5,69.25,34.25
45.2883864,18.8030043,8935,1006.5,23.5,22